skill,model,accuracy,precision,recall,f1,majority_baseline_acc,positive_rate,pr_auc,roc_auc
деловая переписка,catboost,0.9542586750788643,0.16352201257861634,0.14207650273224043,0.15204678362573099,0.9711356466876971,0.02886435331230284,0.1269273516809057,0.7863425254120104
деловая переписка,xgboost,0.9050473186119874,0.11131725417439703,0.32786885245901637,0.16620498614958448,0.9711356466876971,0.02886435331230284,0.1458952283883885,0.8085736524512062
деловая переписка,lightgbm,0.9397476340694007,0.12452830188679245,0.18032786885245902,0.14732142857142858,0.9711356466876971,0.02886435331230284,0.138472113800865,0.8041542302466161
английский язык,catboost,0.9608832807570978,0.3155080213903743,0.329608938547486,0.3224043715846995,0.9717665615141956,0.028233438485804417,0.2562337731270645,0.7601347093222006
английский язык,xgboost,0.9517350157728707,0.2656826568265683,0.4022346368715084,0.32,0.9717665615141956,0.028233438485804417,0.2435740666227706,0.7544574404322014
английский язык,lightgbm,0.9689274447949526,0.40816326530612246,0.22346368715083798,0.2888086642599278,0.9717665615141956,0.028233438485804417,0.244643724020403,0.7557432361974177
javascript,catboost,0.96198738170347,0.40145985401459855,0.5882352941176471,0.4772234273318872,0.9705047318611988,0.02949526813880126,0.5060037101828633,0.9324576246881005
javascript,xgboost,0.9626182965299684,0.4161073825503356,0.6631016042780749,0.511340206185567,0.9705047318611988,0.02949526813880126,0.5237527752389224,0.9318675034394768
javascript,lightgbm,0.9561514195583596,0.36962750716332377,0.6898395721925134,0.48134328358208955,0.9705047318611988,0.02949526813880126,0.5245702950266686,0.9340072361553994
1с: предприятие 8,catboost,0.9593059936908518,0.21022727272727273,0.23717948717948717,0.22289156626506024,0.9753943217665615,0.024605678233438486,0.1816583781914446,0.8665450749660001
